Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P3-RNA-BS-030325_S56_L001_R1	(1.0, 22.69681458074383)	(2.0, 11.546875225250606)	(3.0, 6.556130094871724)	(4.0, 4.373719732428638)	(5.0, 2.9538738681750116)	(6.0, 2.344026699925316)	(7.0, 1.9935697068807163)	(8.0, 1.6075498538841604)	(9.0, 1.3970895183647758)	('>10', 16.844647392465603)	('>50', 4.8674546854618095)	('>100', 9.59232636822376)	('>500', 3.640797377357647)	('>1k', 5.097783767199632)	('>5k', 1.0114663596848905)	('>10k+', 3.4758747690818894)
P3-RNA-BS-030325_S56_L001_R1_001	(1.0, 22.793630247787142)	(2.0, 11.431702136412133)	(3.0, 6.521428952103473)	(4.0, 4.345596243689306)	(5.0, 2.9423790347900813)	(6.0, 2.337702593648465)	(7.0, 1.9714419048865148)	(8.0, 1.5988719119156447)	(9.0, 1.4102366965254656)	('>10', 16.820161600661496)	('>50', 4.839468376106031)	('>100', 9.526758219280907)	('>500', 3.6396674893190726)	('>1k', 5.104183073640923)	('>5k', 1.0322086503047234)	('>10k+', 3.684562868928581)
P3-RNA-BS-030325_S56_L001_R2	(1.0, 26.238423093639362)	(2.0, 12.794717709451852)	(3.0, 7.315876331703711)	(4.0, 4.5488223791359905)	(5.0, 3.289152241636912)	(6.0, 2.5008784789094642)	(7.0, 1.959300720468415)	(8.0, 1.6406155330955154)	(9.0, 1.3673531531222942)	('>10', 14.902294771991928)	('>50', 4.318256759564889)	('>100', 9.078673978478092)	('>500', 2.869637682746915)	('>1k', 3.187992054799)	('>5k', 1.1677698680044641)	('>10k+', 2.8202352432512297)
P3-RNA-BS-030325_S56_L001_R2_001	(1.0, 26.92485850779463)	(2.0, 12.6182859418874)	(3.0, 7.209786048145076)	(4.0, 4.511625274842037)	(5.0, 3.209253429955197)	(6.0, 2.486660103610111)	(7.0, 1.9431191270109776)	(8.0, 1.6123741180876912)	(9.0, 1.3750870697108515)	('>10', 14.64387940838108)	('>50', 4.2620950578762455)	('>100', 8.922233933130919)	('>500', 2.8203777484803427)	('>1k', 3.1762053059819655)	('>5k', 1.120039193247203)	('>10k+', 3.1641197318583245)
Q1-RNA-BS-030325_S51_L001_R1	(1.0, 23.97715355236208)	(2.0, 11.870454942682775)	(3.0, 6.655027226623002)	(4.0, 4.257399851679349)	(5.0, 3.0171027216337665)	(6.0, 2.296565321127201)	(7.0, 1.8898448777338424)	(8.0, 1.4726570215126653)	(9.0, 1.2443841325474363)	('>10', 15.511779365083827)	('>50', 4.569694887265675)	('>100', 8.999739137193435)	('>500', 3.624144268891853)	('>1k', 5.938616792663459)	('>5k', 1.221465002835179)	('>10k+', 3.453970898164708)
Q1-RNA-BS-030325_S51_L001_R1_001	(1.0, 24.054055875790713)	(2.0, 11.815986584280921)	(3.0, 6.6240863342884895)	(4.0, 4.208249621402848)	(5.0, 3.018180887602921)	(6.0, 2.2999074650353815)	(7.0, 1.8978267142443666)	(8.0, 1.4853125325049947)	(9.0, 1.2224224629082439)	('>10', 15.460947982557169)	('>50', 4.565349058080803)	('>100', 8.939255688313835)	('>500', 3.607243893413855)	('>1k', 5.989487985902916)	('>5k', 1.240392706805866)	('>10k+', 3.5712942068666162)
Q1-RNA-BS-030325_S51_L001_R2	(1.0, 27.69428088300584)	(2.0, 12.967150590541902)	(3.0, 7.11494737315406)	(4.0, 4.419716301793062)	(5.0, 3.1381243187686083)	(6.0, 2.3482940551771447)	(7.0, 1.8414403010407394)	(8.0, 1.5414066449606045)	(9.0, 1.2864804537636196)	('>10', 13.587445928501587)	('>50', 3.9384037523362627)	('>100', 8.9283022185466)	('>500', 3.117303779288467)	('>1k', 4.132615812936447)	('>5k', 0.9245550050382121)	('>10k+', 3.0195325811469695)
Q1-RNA-BS-030325_S51_L001_R2_001	(1.0, 28.37560011400783)	(2.0, 12.768545092369404)	(3.0, 7.014193324014979)	(4.0, 4.354038436684143)	(5.0, 3.1096019544059517)	(6.0, 2.3049385428440767)	(7.0, 1.829607119718217)	(8.0, 1.5413517510484338)	(9.0, 1.2435222223704328)	('>10', 13.45053674080784)	('>50', 3.895514340847249)	('>100', 8.787175616161809)	('>500', 3.0843927969740164)	('>1k', 4.107222184273896)	('>5k', 0.8797479226404779)	('>10k+', 3.2540118408313097)
Q2-RNA-BS-030325_S52_L001_R1	(1.0, 21.744948219061136)	(2.0, 11.352145499922282)	(3.0, 6.57521904853209)	(4.0, 4.1893603158722215)	(5.0, 2.9883800298289955)	(6.0, 2.3921136563394074)	(7.0, 1.8785070631505678)	(8.0, 1.6389121693486726)	(9.0, 1.3465692378419807)	('>10', 16.356158323822815)	('>50', 4.822781255321052)	('>100', 9.723060426472268)	('>500', 3.9163932553536807)	('>1k', 6.140879721652399)	('>5k', 1.207254832097805)	('>10k+', 3.7273169453827943)
Q2-RNA-BS-030325_S52_L001_R1_001	(1.0, 21.842335204498283)	(2.0, 11.30733567350136)	(3.0, 6.489762473308315)	(4.0, 4.171627562841537)	(5.0, 3.010541844982266)	(6.0, 2.3544131948555562)	(7.0, 1.8955977303125104)	(8.0, 1.6110428604253397)	(9.0, 1.3683721857316755)	('>10', 16.298045094609606)	('>50', 4.814159395369626)	('>100', 9.67664227343586)	('>500', 3.8980579167036087)	('>1k', 6.20000664093157)	('>5k', 1.2190961782828735)	('>10k+', 3.842963770209934)
Q2-RNA-BS-030325_S52_L001_R2	(1.0, 25.187204578148485)	(2.0, 12.398198963237204)	(3.0, 7.126191098089254)	(4.0, 4.5269401291687466)	(5.0, 3.263322479721795)	(6.0, 2.4335982316251314)	(7.0, 1.932910220648595)	(8.0, 1.6390751446611733)	(9.0, 1.3912704164774683)	('>10', 14.619984747636428)	('>50', 4.283956322084968)	('>100', 9.52725722310249)	('>500', 3.3055517165751858)	('>1k', 4.1075445750489505)	('>5k', 0.9667831344498692)	('>10k+', 3.290211019324342)
Q2-RNA-BS-030325_S52_L001_R2_001	(1.0, 26.00451861473836)	(2.0, 12.209497933153452)	(3.0, 7.028296877774401)	(4.0, 4.439009372257444)	(5.0, 3.210633869093588)	(6.0, 2.4029885662035464)	(7.0, 1.9120453656227956)	(8.0, 1.6023611511229658)	(9.0, 1.391645294193855)	('>10', 14.400150323053456)	('>50', 4.236866365103355)	('>100', 9.34646245238175)	('>500', 3.2912672480033143)	('>1k', 4.047569098608579)	('>5k', 0.9720127084824313)	('>10k+', 3.504674760206693)
Q3-RNA-BS-030325_S1_L001_R1	(1.0, 45.731648688521645)	(2.0, 16.23183990531495)	(3.0, 7.235745477459156)	(4.0, 3.844979754617248)	(5.0, 2.3888520506019244)	(6.0, 1.6624123392254029)	(7.0, 1.292049938599846)	(8.0, 1.0305749040320074)	(9.0, 0.8154717860363255)	('>10', 8.712001350404268)	('>50', 2.725975279669411)	('>100', 4.477903186342288)	('>500', 1.0517371828193767)	('>1k', 1.2782749689524575)	('>5k', 0.406923186319128)	('>10k+', 1.113610001084561)
Q3-RNA-BS-030325_S1_L001_R1_001	(1.0, 44.70020776032108)	(2.0, 15.845808965546409)	(3.0, 7.02511939443944)	(4.0, 3.74667314972966)	(5.0, 2.345850554118243)	(6.0, 1.6099095127476883)	(7.0, 1.2537564667009145)	(8.0, 1.0141931815299614)	(9.0, 0.7762649507376131)	('>10', 8.48904493911212)	('>50', 2.6329646424026407)	('>100', 4.42277002150581)	('>500', 1.03812699333733)	('>1k', 1.2040087109956252)	('>5k', 0.4348198850721425)	('>10k+', 3.4604808717033317)
Q3-RNA-BS-030325_S1_L001_R2	(1.0, 60.04045407115578)	(2.0, 16.31860260114267)	(3.0, 5.88302825861001)	(4.0, 2.6205330750774047)	(5.0, 1.504476601504414)	(6.0, 0.949724400899904)	(7.0, 0.6919436093711765)	(8.0, 0.5169918997301562)	(9.0, 0.38569584917715277)	('>10', 4.133244510617469)	('>50', 1.4247925987206111)	('>100', 2.4612170990199163)	('>500', 0.6016592341993868)	('>1k', 1.578530312132211)	('>5k', 0.8041812065599415)	('>10k+', 0.08492467208179139)
Q3-RNA-BS-030325_S1_L001_R2_001	(1.0, 59.16752938127521)	(2.0, 15.806695492717502)	(3.0, 5.696900226858392)	(4.0, 2.519933923433189)	(5.0, 1.4716557856135084)	(6.0, 0.9116409291810368)	(7.0, 0.6387905480341685)	(8.0, 0.49634279726899044)	(9.0, 0.3814592197074055)	('>10', 3.870338908063235)	('>50', 1.333129138579118)	('>100', 2.3167203002891337)	('>500', 0.5909843067949063)	('>1k', 1.4878924581084199)	('>5k', 0.7749729804723697)	('>10k+', 2.5350136036033644)
Q3-RNA-BS-030325_S53_L001_R1	(1.0, 27.164122547264185)	(2.0, 13.041478964012013)	(3.0, 7.1383859109005865)	(4.0, 4.269020931178528)	(5.0, 3.0039486885145816)	(6.0, 2.2598390102477075)	(7.0, 1.823862140959525)	(8.0, 1.5341268559517565)	(9.0, 1.3178232518597934)	('>10', 14.055912330882435)	('>50', 4.203497446609318)	('>100', 8.598829603420336)	('>500', 3.228676520572023)	('>1k', 4.431315560411698)	('>5k', 0.9943143767062281)	('>10k+', 2.934845860509168)
Q3-RNA-BS-030325_S53_L001_R1_001	(1.0, 26.901755306774035)	(2.0, 12.840609715951738)	(3.0, 6.987625068809732)	(4.0, 4.221585791347938)	(5.0, 2.959378700275097)	(6.0, 2.243455348686157)	(7.0, 1.802582129785348)	(8.0, 1.5043654699419668)	(9.0, 1.2941974039825808)	('>10', 13.851970207882536)	('>50', 4.141778947841122)	('>100', 8.45676620944463)	('>500', 3.184547864063323)	('>1k', 4.4037970534002016)	('>5k', 0.9777655841643883)	('>10k+', 4.227819197649257)
Q3-RNA-BS-030325_S53_L001_R2	(1.0, 31.132468636086646)	(2.0, 14.107235823990866)	(3.0, 7.516763381317474)	(4.0, 4.533370057399178)	(5.0, 2.976741281421589)	(6.0, 2.245452397074528)	(7.0, 1.7374267663295135)	(8.0, 1.4132865811067754)	(9.0, 1.2333728163109574)	('>10', 12.25169953417477)	('>50', 3.834009390906173)	('>100', 8.19632734973378)	('>500', 2.400691037814016)	('>1k', 2.973447304684165)	('>5k', 1.1779865639655405)	('>10k+', 2.2697210776840073)
Q3-RNA-BS-030325_S53_L001_R2_001	(1.0, 31.443927818478752)	(2.0, 13.714355539794298)	(3.0, 7.305739960436142)	(4.0, 4.396289728492641)	(5.0, 2.903141232877708)	(6.0, 2.166686149190505)	(7.0, 1.70487631724276)	(8.0, 1.3909829759675167)	(9.0, 1.2124008971449856)	('>10', 11.95865287592818)	('>50', 3.7359056885091877)	('>100', 8.007661459474216)	('>500', 2.3383349063864705)	('>1k', 2.9204742733628235)	('>5k', 1.1672391196103042)	('>10k+', 3.6333310571034767)
