Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
L3-RNA-BS-030325_S59_L001_R2	(17, 20274.0)	(18, 19389.0)	(19, 19952.0)	(20, 18669.0)	(21, 19162.0)	(22, 18694.0)	(23, 18507.0)	(24, 17833.0)	(25, 18003.0)	(26, 16819.0)	(27, 16561.0)	(28, 15971.0)	(29, 15984.0)	(30, 15307.0)	(31, 15530.0)	(32, 15146.0)	(33, 15560.0)	(34, 15187.0)	(35, 15688.0)	(36, 15605.0)	(37, 16235.0)	(38, 16164.0)	(39, 16674.0)	(40, 16960.0)	(41, 17008.0)	(42, 16492.0)	(43, 17020.0)	(44, 16879.0)	(45, 16786.0)	(46, 16607.0)	(47, 16936.0)	(48, 17178.0)	(49, 19575.0)	(50, 17178.0)	(51, 20672.0)	(52, 23874.0)	(53, 38569.0)	(54, 87366.0)	(55, 386683.0)	(56, 1480689.0)	(57, 4234489.0)	(58, 14495581.0)	(59, 36688680.0)
L3-RNA-BS-030325_S59_L001_R2_001	(35, 62450.0)	(36, 100.0)	(37, 99.0)	(38, 114.0)	(39, 132.0)	(40, 137.0)	(41, 142.0)	(42, 158.0)	(43, 156.0)	(44, 151.0)	(45, 231.0)	(46, 276.0)	(47, 436.0)	(48, 939.0)	(49, 3269.0)	(50, 1096.0)	(51, 4839.0)	(52, 8576.0)	(53, 22694.0)	(54, 71172.0)	(55, 370505.0)	(56, 1472989.0)	(57, 4241989.0)	(58, 14756802.0)	(59, 38094197.0)																		
P1-RNA-BS-030325_S54_L001_R1	(17, 3354.0)	(18, 3144.0)	(19, 3018.0)	(20, 3056.0)	(21, 3010.0)	(22, 2988.0)	(23, 3243.0)	(24, 3836.0)	(25, 5110.0)	(26, 5085.0)	(27, 5812.0)	(28, 6563.0)	(29, 6981.0)	(30, 7859.0)	(31, 7809.0)	(32, 8511.0)	(33, 9075.0)	(34, 9391.0)	(35, 8827.0)	(36, 8714.0)	(37, 8737.0)	(38, 8831.0)	(39, 9004.0)	(40, 8896.0)	(41, 9477.0)	(42, 9965.0)	(43, 10507.0)	(44, 9213.0)	(45, 9262.0)	(46, 10479.0)	(47, 9675.0)	(48, 9145.0)	(49, 10827.0)	(50, 9450.0)	(51, 11668.0)	(52, 15027.0)	(53, 29011.0)	(54, 61062.0)	(55, 241933.0)	(56, 1086225.0)	(57, 3348855.0)	(58, 10872922.0)	(59, 31076299.0)
P1-RNA-BS-030325_S54_L001_R1_001	(35, 77274.0)	(36, 75.0)	(37, 74.0)	(38, 107.0)	(39, 103.0)	(40, 131.0)	(41, 100.0)	(42, 160.0)	(43, 174.0)	(44, 254.0)	(45, 184.0)	(46, 320.0)	(47, 348.0)	(48, 690.0)	(49, 2398.0)	(50, 856.0)	(51, 3494.0)	(52, 7120.0)	(53, 20894.0)	(54, 53451.0)	(55, 234007.0)	(56, 1085884.0)	(57, 3372417.0)	(58, 11095472.0)	(59, 31913970.0)																		
P1-RNA-BS-030325_S54_L001_R2	(17, 17153.0)	(18, 16483.0)	(19, 16984.0)	(20, 15597.0)	(21, 15849.0)	(22, 15484.0)	(23, 15179.0)	(24, 14809.0)	(25, 14598.0)	(26, 13829.0)	(27, 13633.0)	(28, 13417.0)	(29, 12971.0)	(30, 12488.0)	(31, 13264.0)	(32, 12440.0)	(33, 12896.0)	(34, 12620.0)	(35, 13283.0)	(36, 13022.0)	(37, 13356.0)	(38, 13661.0)	(39, 14145.0)	(40, 14031.0)	(41, 14001.0)	(42, 13808.0)	(43, 14428.0)	(44, 14261.0)	(45, 14184.0)	(46, 14248.0)	(47, 14385.0)	(48, 15266.0)	(49, 16569.0)	(50, 14830.0)	(51, 16909.0)	(52, 19025.0)	(53, 31523.0)	(54, 71601.0)	(55, 313018.0)	(56, 1210482.0)	(57, 3428998.0)	(58, 11669887.0)	(59, 29743241.0)
P1-RNA-BS-030325_S54_L001_R2_001	(35, 76870.0)	(36, 78.0)	(37, 83.0)	(38, 106.0)	(39, 107.0)	(40, 133.0)	(41, 99.0)	(42, 155.0)	(43, 179.0)	(44, 252.0)	(45, 187.0)	(46, 307.0)	(47, 358.0)	(48, 788.0)	(49, 2534.0)	(50, 935.0)	(51, 3763.0)	(52, 6381.0)	(53, 18225.0)	(54, 58221.0)	(55, 299549.0)	(56, 1202374.0)	(57, 3436085.0)	(58, 11893228.0)	(59, 30868960.0)																		
P2-RNA-BS-030325_S2_L001_R1	(17, 1021.0)	(18, 1057.0)	(19, 1017.0)	(20, 1027.0)	(21, 937.0)	(22, 1150.0)	(23, 1253.0)	(24, 1626.0)	(25, 2285.0)	(26, 1826.0)	(27, 2288.0)	(28, 2306.0)	(29, 2706.0)	(30, 2218.0)	(31, 2256.0)	(32, 2442.0)	(33, 2732.0)	(34, 2994.0)	(35, 4459.0)	(36, 3050.0)	(37, 3135.0)	(38, 3826.0)	(39, 4123.0)	(40, 3880.0)	(41, 4348.0)	(42, 3438.0)	(43, 3505.0)	(44, 3339.0)	(45, 3017.0)	(46, 3212.0)	(47, 3330.0)	(48, 4485.0)	(49, 4422.0)	(50, 3862.0)	(51, 4716.0)	(52, 6118.0)	(53, 11033.0)	(54, 23182.0)	(55, 88317.0)	(56, 375993.0)	(57, 1133287.0)	(58, 3621404.0)	(59, 10066243.0)
P2-RNA-BS-030325_S2_L001_R1_001	(35, 84585.0)	(36, 73.0)	(37, 75.0)	(38, 91.0)	(39, 115.0)	(40, 90.0)	(41, 110.0)	(42, 153.0)	(43, 148.0)	(44, 193.0)	(45, 183.0)	(46, 227.0)	(47, 291.0)	(48, 426.0)	(49, 936.0)	(50, 500.0)	(51, 1547.0)	(52, 2714.0)	(53, 7725.0)	(54, 19842.0)	(55, 83330.0)	(56, 372421.0)	(57, 1142884.0)	(58, 3588853.0)	(59, 10476205.0)																		
P2-RNA-BS-030325_S2_L001_R2	(17, 6324.0)	(18, 5834.0)	(19, 6401.0)	(20, 6730.0)	(21, 8206.0)	(22, 9815.0)	(23, 12169.0)	(24, 11777.0)	(25, 12427.0)	(26, 10954.0)	(27, 10600.0)	(28, 7344.0)	(29, 5261.0)	(30, 6419.0)	(31, 6380.0)	(32, 5597.0)	(33, 7890.0)	(34, 7255.0)	(35, 6745.0)	(36, 8232.0)	(37, 9622.0)	(38, 13273.0)	(39, 12092.0)	(40, 8735.0)	(41, 5184.0)	(42, 5428.0)	(43, 5184.0)	(44, 4950.0)	(45, 5406.0)	(46, 5030.0)	(47, 5478.0)	(48, 5627.0)	(49, 6180.0)	(50, 5150.0)	(51, 6010.0)	(52, 7435.0)	(53, 12123.0)	(54, 28279.0)	(55, 126856.0)	(56, 432211.0)	(57, 1221528.0)	(58, 3811419.0)	(59, 9517305.0)
P2-RNA-BS-030325_S2_L001_R2_001	(35, 102949.0)	(36, 202.0)	(37, 609.0)	(38, 3652.0)	(39, 15899.0)	(40, 92.0)	(41, 114.0)	(42, 154.0)	(43, 147.0)	(44, 188.0)	(45, 187.0)	(46, 220.0)	(47, 316.0)	(48, 441.0)	(49, 1010.0)	(50, 506.0)	(51, 1597.0)	(52, 2884.0)	(53, 7508.0)	(54, 23101.0)	(55, 112329.0)	(56, 424883.0)	(57, 1196370.0)	(58, 3816491.0)	(59, 10071868.0)																		
P2-RNA-BS-030325_S55_L001_R1	(17, 2644.0)	(18, 2488.0)	(19, 2420.0)	(20, 2491.0)	(21, 2348.0)	(22, 2439.0)	(23, 2478.0)	(24, 2999.0)	(25, 3844.0)	(26, 3952.0)	(27, 4341.0)	(28, 4946.0)	(29, 5240.0)	(30, 5910.0)	(31, 5870.0)	(32, 6378.0)	(33, 6956.0)	(34, 7114.0)	(35, 6728.0)	(36, 6524.0)	(37, 6607.0)	(38, 6544.0)	(39, 6856.0)	(40, 6523.0)	(41, 6981.0)	(42, 7360.0)	(43, 7687.0)	(44, 6891.0)	(45, 6891.0)	(46, 7663.0)	(47, 7180.0)	(48, 6836.0)	(49, 8222.0)	(50, 7340.0)	(51, 9350.0)	(52, 11679.0)	(53, 22912.0)	(54, 49589.0)	(55, 193043.0)	(56, 867533.0)	(57, 2659364.0)	(58, 8590995.0)	(59, 24718601.0)
P2-RNA-BS-030325_S55_L001_R1_001	(35, 111568.0)	(36, 65.0)	(37, 66.0)	(38, 65.0)	(39, 75.0)	(40, 104.0)	(41, 103.0)	(42, 115.0)	(43, 131.0)	(44, 170.0)	(45, 184.0)	(46, 212.0)	(47, 285.0)	(48, 625.0)	(49, 1958.0)	(50, 691.0)	(51, 2867.0)	(52, 5680.0)	(53, 16680.0)	(54, 43294.0)	(55, 186950.0)	(56, 867973.0)	(57, 2680491.0)	(58, 8761615.0)	(59, 25381174.0)																		
P2-RNA-BS-030325_S55_L001_R2	(17, 13334.0)	(18, 12689.0)	(19, 13132.0)	(20, 12183.0)	(21, 12197.0)	(22, 12249.0)	(23, 12182.0)	(24, 11540.0)	(25, 11867.0)	(26, 10882.0)	(27, 10812.0)	(28, 10589.0)	(29, 10376.0)	(30, 9975.0)	(31, 10710.0)	(32, 9974.0)	(33, 10323.0)	(34, 10100.0)	(35, 10239.0)	(36, 10333.0)	(37, 10588.0)	(38, 10896.0)	(39, 11265.0)	(40, 11341.0)	(41, 11470.0)	(42, 10991.0)	(43, 11724.0)	(44, 11341.0)	(45, 11820.0)	(46, 11401.0)	(47, 11681.0)	(48, 11971.0)	(49, 13355.0)	(50, 12013.0)	(51, 13671.0)	(52, 15614.0)	(53, 25205.0)	(54, 57362.0)	(55, 246709.0)	(56, 961172.0)	(57, 2726366.0)	(58, 9239634.0)	(59, 23637481.0)
P2-RNA-BS-030325_S55_L001_R2_001	(35, 111353.0)	(36, 60.0)	(37, 67.0)	(38, 69.0)	(39, 84.0)	(40, 102.0)	(41, 100.0)	(42, 114.0)	(43, 123.0)	(44, 171.0)	(45, 185.0)	(46, 199.0)	(47, 299.0)	(48, 622.0)	(49, 2056.0)	(50, 742.0)	(51, 3044.0)	(52, 5394.0)	(53, 14406.0)	(54, 46756.0)	(55, 236083.0)	(56, 954204.0)	(57, 2735176.0)	(58, 9414764.0)	(59, 24536968.0)																		
P3-RNA-BS-030325_S56_L001_R1	(17, 2972.0)	(18, 2843.0)	(19, 2648.0)	(20, 2735.0)	(21, 2739.0)	(22, 2732.0)	(23, 2920.0)	(24, 3377.0)	(25, 4326.0)	(26, 4338.0)	(27, 4845.0)	(28, 5465.0)	(29, 5888.0)	(30, 6790.0)	(31, 6570.0)	(32, 7229.0)	(33, 7931.0)	(34, 8187.0)	(35, 7726.0)	(36, 7691.0)	(37, 7665.0)	(38, 7655.0)	(39, 7872.0)	(40, 7452.0)	(41, 7794.0)	(42, 8255.0)	(43, 8546.0)	(44, 7557.0)	(45, 7671.0)	(46, 8443.0)	(47, 8103.0)	(48, 7836.0)	(49, 9328.0)	(50, 8194.0)	(51, 10515.0)	(52, 13443.0)	(53, 25943.0)	(54, 56679.0)	(55, 224175.0)	(56, 1006207.0)	(57, 3074473.0)	(58, 9937154.0)	(59, 28527864.0)
P3-RNA-BS-030325_S56_L001_R1_001	(35, 86885.0)	(36, 97.0)	(37, 70.0)	(38, 81.0)	(39, 100.0)	(40, 110.0)	(41, 98.0)	(42, 146.0)	(43, 183.0)	(44, 155.0)	(45, 192.0)	(46, 231.0)	(47, 339.0)	(48, 716.0)	(49, 2212.0)	(50, 776.0)	(51, 3411.0)	(52, 6608.0)	(53, 18977.0)	(54, 50022.0)	(55, 217419.0)	(56, 1007002.0)	(57, 3095635.0)	(58, 10129840.0)	(59, 29274156.0)																		
P3-RNA-BS-030325_S56_L001_R2	(17, 14498.0)	(18, 13788.0)	(19, 14218.0)	(20, 13388.0)	(21, 13704.0)	(22, 13203.0)	(23, 13484.0)	(24, 13017.0)	(25, 12691.0)	(26, 11916.0)	(27, 11618.0)	(28, 11359.0)	(29, 11101.0)	(30, 10719.0)	(31, 11200.0)	(32, 10654.0)	(33, 11143.0)	(34, 10846.0)	(35, 11201.0)	(36, 11100.0)	(37, 11455.0)	(38, 11343.0)	(39, 11736.0)	(40, 12074.0)	(41, 12251.0)	(42, 11976.0)	(43, 12518.0)	(44, 11928.0)	(45, 11991.0)	(46, 11996.0)	(47, 12242.0)	(48, 12541.0)	(49, 14146.0)	(50, 12415.0)	(51, 14954.0)	(52, 17105.0)	(53, 28574.0)	(54, 65059.0)	(55, 280790.0)	(56, 1109874.0)	(57, 3147586.0)	(58, 10675109.0)	(59, 27334265.0)
P3-RNA-BS-030325_S56_L001_R2_001	(35, 86399.0)	(36, 98.0)	(37, 71.0)	(38, 85.0)	(39, 102.0)	(40, 119.0)	(41, 99.0)	(42, 142.0)	(43, 182.0)	(44, 155.0)	(45, 197.0)	(46, 213.0)	(47, 352.0)	(48, 712.0)	(49, 2433.0)	(50, 877.0)	(51, 3560.0)	(52, 6213.0)	(53, 16952.0)	(54, 53393.0)	(55, 268951.0)	(56, 1102778.0)	(57, 3153672.0)	(58, 10853244.0)	(59, 28344462.0)																		
Q1-RNA-BS-030325_S51_L001_R1	(17, 4347.0)	(18, 3932.0)	(19, 3826.0)	(20, 3722.0)	(21, 3786.0)	(22, 3908.0)	(23, 4013.0)	(24, 4931.0)	(25, 6374.0)	(26, 6311.0)	(27, 7253.0)	(28, 8320.0)	(29, 8831.0)	(30, 10169.0)	(31, 9845.0)	(32, 10784.0)	(33, 11604.0)	(34, 12315.0)	(35, 11235.0)	(36, 11462.0)	(37, 11307.0)	(38, 11527.0)	(39, 12050.0)	(40, 11678.0)	(41, 12452.0)	(42, 13362.0)	(43, 13440.0)	(44, 11823.0)	(45, 12024.0)	(46, 13582.0)	(47, 12504.0)	(48, 11914.0)	(49, 13889.0)	(50, 12114.0)	(51, 15583.0)	(52, 19693.0)	(53, 36552.0)	(54, 80395.0)	(55, 317857.0)	(56, 1394933.0)	(57, 4320232.0)	(58, 13910849.0)	(59, 40249632.0)
Q1-RNA-BS-030325_S51_L001_R1_001	(35, 72986.0)	(36, 91.0)	(37, 86.0)	(38, 99.0)	(39, 92.0)	(40, 100.0)	(41, 104.0)	(42, 160.0)	(43, 186.0)	(44, 203.0)	(45, 232.0)	(46, 251.0)	(47, 356.0)	(48, 903.0)	(49, 3094.0)	(50, 947.0)	(51, 4883.0)	(52, 9108.0)	(53, 26307.0)	(54, 70220.0)	(55, 308043.0)	(56, 1394905.0)	(57, 4352183.0)	(58, 14203954.0)	(59, 41356267.0)																		
Q1-RNA-BS-030325_S51_L001_R2	(17, 20426.0)	(18, 19907.0)	(19, 19944.0)	(20, 18868.0)	(21, 19279.0)	(22, 18928.0)	(23, 18994.0)	(24, 18215.0)	(25, 18560.0)	(26, 17001.0)	(27, 16503.0)	(28, 15941.0)	(29, 15525.0)	(30, 15027.0)	(31, 15642.0)	(32, 14976.0)	(33, 15538.0)	(34, 15298.0)	(35, 15716.0)	(36, 15488.0)	(37, 16138.0)	(38, 15880.0)	(39, 16112.0)	(40, 16013.0)	(41, 16068.0)	(42, 16071.0)	(43, 16548.0)	(44, 16162.0)	(45, 15985.0)	(46, 16405.0)	(47, 16479.0)	(48, 17032.0)	(49, 19192.0)	(50, 16685.0)	(51, 20560.0)	(52, 23768.0)	(53, 39579.0)	(54, 90564.0)	(55, 395170.0)	(56, 1559343.0)	(57, 4441033.0)	(58, 14896243.0)	(59, 38623554.0)
Q1-RNA-BS-030325_S51_L001_R2_001	(35, 72626.0)	(36, 97.0)	(37, 85.0)	(38, 100.0)	(39, 107.0)	(40, 98.0)	(41, 109.0)	(42, 161.0)	(43, 196.0)	(44, 206.0)	(45, 229.0)	(46, 237.0)	(47, 417.0)	(48, 947.0)	(49, 3367.0)	(50, 996.0)	(51, 4904.0)	(52, 8727.0)	(53, 23870.0)	(54, 74979.0)	(55, 379647.0)	(56, 1552577.0)	(57, 4451732.0)	(58, 15132377.0)	(59, 40096969.0)																		
Q2-RNA-BS-030325_S52_L001_R1	(17, 3598.0)	(18, 3414.0)	(19, 3267.0)	(20, 3299.0)	(21, 3193.0)	(22, 3157.0)	(23, 3444.0)	(24, 4212.0)	(25, 5411.0)	(26, 5371.0)	(27, 5829.0)	(28, 6794.0)	(29, 7144.0)	(30, 8199.0)	(31, 7960.0)	(32, 8906.0)	(33, 9533.0)	(34, 9869.0)	(35, 9278.0)	(36, 9345.0)	(37, 9045.0)	(38, 9464.0)	(39, 9433.0)	(40, 9329.0)	(41, 10171.0)	(42, 11236.0)	(43, 11134.0)	(44, 9611.0)	(45, 9979.0)	(46, 11095.0)	(47, 10420.0)	(48, 9997.0)	(49, 11426.0)	(50, 10263.0)	(51, 12550.0)	(52, 16319.0)	(53, 30375.0)	(54, 66682.0)	(55, 261270.0)	(56, 1177303.0)	(57, 3588760.0)	(58, 11724295.0)	(59, 33179826.0)
Q2-RNA-BS-030325_S52_L001_R1_001	(35, 59284.0)	(36, 76.0)	(37, 61.0)	(38, 120.0)	(39, 70.0)	(40, 87.0)	(41, 106.0)	(42, 173.0)	(43, 147.0)	(44, 172.0)	(45, 180.0)	(46, 258.0)	(47, 336.0)	(48, 691.0)	(49, 2434.0)	(50, 769.0)	(51, 3837.0)	(52, 8041.0)	(53, 22063.0)	(54, 58964.0)	(55, 253264.0)	(56, 1178552.0)	(57, 3616818.0)	(58, 11974748.0)	(59, 34084910.0)																		
Q2-RNA-BS-030325_S52_L001_R2	(17, 17687.0)	(18, 16822.0)	(19, 17281.0)	(20, 16260.0)	(21, 16653.0)	(22, 15833.0)	(23, 16018.0)	(24, 15608.0)	(25, 15651.0)	(26, 14595.0)	(27, 14128.0)	(28, 13733.0)	(29, 13446.0)	(30, 12981.0)	(31, 13392.0)	(32, 12978.0)	(33, 13240.0)	(34, 12819.0)	(35, 13401.0)	(36, 13174.0)	(37, 13553.0)	(38, 13693.0)	(39, 14074.0)	(40, 13857.0)	(41, 14557.0)	(42, 13993.0)	(43, 14662.0)	(44, 13946.0)	(45, 14476.0)	(46, 14194.0)	(47, 14339.0)	(48, 14648.0)	(49, 16401.0)	(50, 14742.0)	(51, 17522.0)	(52, 19951.0)	(53, 32763.0)	(54, 75812.0)	(55, 325300.0)	(56, 1314942.0)	(57, 3660966.0)	(58, 12519426.0)	(59, 31857689.0)
Q2-RNA-BS-030325_S52_L001_R2_001	(35, 58270.0)	(36, 87.0)	(37, 58.0)	(38, 122.0)	(39, 71.0)	(40, 91.0)	(41, 115.0)	(42, 181.0)	(43, 146.0)	(44, 175.0)	(45, 175.0)	(46, 238.0)	(47, 326.0)	(48, 764.0)	(49, 2600.0)	(50, 849.0)	(51, 4104.0)	(52, 7041.0)	(53, 18877.0)	(54, 62269.0)	(55, 310967.0)	(56, 1308531.0)	(57, 3671154.0)	(58, 12750467.0)	(59, 33068483.0)																		
Q3-RNA-BS-030325_S1_L001_R1	(17, 1105.0)	(18, 1071.0)	(19, 1055.0)	(20, 1151.0)	(21, 1003.0)	(22, 1159.0)	(23, 1341.0)	(24, 1580.0)	(25, 2402.0)	(26, 1925.0)	(27, 2395.0)	(28, 2444.0)	(29, 2842.0)	(30, 2303.0)	(31, 2458.0)	(32, 2634.0)	(33, 3037.0)	(34, 3157.0)	(35, 4566.0)	(36, 3209.0)	(37, 3234.0)	(38, 4057.0)	(39, 4420.0)	(40, 4483.0)	(41, 4780.0)	(42, 3633.0)	(43, 3941.0)	(44, 3680.0)	(45, 3546.0)	(46, 3476.0)	(47, 3717.0)	(48, 4924.0)	(49, 4965.0)	(50, 4246.0)	(51, 5299.0)	(52, 6984.0)	(53, 11748.0)	(54, 24144.0)	(55, 91643.0)	(56, 385723.0)	(57, 1156593.0)	(58, 3707729.0)	(59, 10288061.0)
Q3-RNA-BS-030325_S1_L001_R1_001	(35, 306653.0)	(36, 145.0)	(37, 129.0)	(38, 150.0)	(39, 142.0)	(40, 180.0)	(41, 145.0)	(42, 205.0)	(43, 217.0)	(44, 239.0)	(45, 220.0)	(46, 286.0)	(47, 322.0)	(48, 494.0)	(49, 1038.0)	(50, 576.0)	(51, 1663.0)	(52, 3180.0)	(53, 7836.0)	(54, 20306.0)	(55, 86204.0)	(56, 381781.0)	(57, 1165340.0)	(58, 3678597.0)	(59, 10719112.0)																		
Q3-RNA-BS-030325_S1_L001_R2	(17, 6386.0)	(18, 5892.0)	(19, 6577.0)	(20, 6897.0)	(21, 8528.0)	(22, 9998.0)	(23, 12497.0)	(24, 11939.0)	(25, 12549.0)	(26, 10662.0)	(27, 10350.0)	(28, 7158.0)	(29, 5291.0)	(30, 6607.0)	(31, 6505.0)	(32, 5840.0)	(33, 8308.0)	(34, 7587.0)	(35, 6861.0)	(36, 8319.0)	(37, 9714.0)	(38, 13051.0)	(39, 11316.0)	(40, 8040.0)	(41, 4731.0)	(42, 5237.0)	(43, 4742.0)	(44, 4885.0)	(45, 5004.0)	(46, 4782.0)	(47, 4965.0)	(48, 5182.0)	(49, 5780.0)	(50, 4986.0)	(51, 5913.0)	(52, 7448.0)	(53, 12482.0)	(54, 28226.0)	(55, 126990.0)	(56, 440037.0)	(57, 1249602.0)	(58, 3899967.0)	(59, 9750032.0)
Q3-RNA-BS-030325_S1_L001_R2_001	(35, 326635.0)	(36, 288.0)	(37, 664.0)	(38, 3869.0)	(39, 16942.0)	(40, 175.0)	(41, 137.0)	(42, 196.0)	(43, 215.0)	(44, 236.0)	(45, 218.0)	(46, 293.0)	(47, 336.0)	(48, 521.0)	(49, 1095.0)	(50, 623.0)	(51, 1714.0)	(52, 3208.0)	(53, 8136.0)	(54, 23417.0)	(55, 112015.0)	(56, 433124.0)	(57, 1223743.0)	(58, 3894226.0)	(59, 10323134.0)																		
Q3-RNA-BS-030325_S53_L001_R1	(17, 2644.0)	(18, 2516.0)	(19, 2485.0)	(20, 2443.0)	(21, 2364.0)	(22, 2334.0)	(23, 2494.0)	(24, 2991.0)	(25, 4167.0)	(26, 3856.0)	(27, 4466.0)	(28, 5123.0)	(29, 5360.0)	(30, 6384.0)	(31, 6113.0)	(32, 6744.0)	(33, 7291.0)	(34, 7688.0)	(35, 6851.0)	(36, 6898.0)	(37, 7042.0)	(38, 7050.0)	(39, 7282.0)	(40, 7208.0)	(41, 7581.0)	(42, 8026.0)	(43, 8187.0)	(44, 7324.0)	(45, 7528.0)	(46, 8048.0)	(47, 7613.0)	(48, 7506.0)	(49, 8665.0)	(50, 7983.0)	(51, 10517.0)	(52, 13346.0)	(53, 24001.0)	(54, 51198.0)	(55, 198625.0)	(56, 873491.0)	(57, 2669519.0)	(58, 8676634.0)	(59, 24878098.0)
Q3-RNA-BS-030325_S53_L001_R1_001	(35, 437245.0)	(36, 108.0)	(37, 78.0)	(38, 139.0)	(39, 131.0)	(40, 126.0)	(41, 131.0)	(42, 196.0)	(43, 176.0)	(44, 204.0)	(45, 201.0)	(46, 298.0)	(47, 316.0)	(48, 692.0)	(49, 1914.0)	(50, 662.0)	(51, 3300.0)	(52, 6478.0)	(53, 16713.0)	(54, 43927.0)	(55, 191891.0)	(56, 873724.0)	(57, 2687912.0)	(58, 8857351.0)	(59, 25567683.0)																		
Q3-RNA-BS-030325_S53_L001_R2	(17, 13794.0)	(18, 13143.0)	(19, 13302.0)	(20, 12891.0)	(21, 12855.0)	(22, 12635.0)	(23, 12591.0)	(24, 12319.0)	(25, 12037.0)	(26, 11322.0)	(27, 11082.0)	(28, 10538.0)	(29, 10404.0)	(30, 10041.0)	(31, 10434.0)	(32, 10059.0)	(33, 10424.0)	(34, 10232.0)	(35, 10372.0)	(36, 10313.0)	(37, 10674.0)	(38, 10718.0)	(39, 11048.0)	(40, 10808.0)	(41, 10852.0)	(42, 10697.0)	(43, 11050.0)	(44, 10794.0)	(45, 10748.0)	(46, 10945.0)	(47, 10864.0)	(48, 11491.0)	(49, 12593.0)	(50, 11152.0)	(51, 13572.0)	(52, 15763.0)	(53, 25101.0)	(54, 57780.0)	(55, 242436.0)	(56, 968026.0)	(57, 2753165.0)	(58, 9289698.0)	(59, 23842921.0)
Q3-RNA-BS-030325_S53_L001_R2_001	(35, 438816.0)	(36, 108.0)	(37, 79.0)	(38, 142.0)	(39, 134.0)	(40, 123.0)	(41, 134.0)	(42, 188.0)	(43, 174.0)	(44, 204.0)	(45, 190.0)	(46, 274.0)	(47, 363.0)	(48, 785.0)	(49, 2344.0)	(50, 805.0)	(51, 3386.0)	(52, 5865.0)	(53, 14870.0)	(54, 47436.0)	(55, 231498.0)	(56, 963160.0)	(57, 2758186.0)	(58, 9455293.0)	(59, 24767039.0)																		
